longitude,latitude,housing_median_age,house_age_category,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-122.05,37.36,34,NEW,2400,419,1017,384,4.1369,316900
-123.79,39.5,24,NEW,1421,291,588,274,2.325,157300
-120.79,37.49,44,NEW,1186,225,687,234,3.4167,160700
-121.89,37.35,47,NEW,2879,631,2229,606,3.2599,183100
-118.43,34.2,29,NEW,3051,694,1942,679,3.1118,238100
-118.75,34.17,18,NEW,6217,858,2703,834,6.8075,325900
-122.47,37.99,22,NEW,7274,1002,2468,957,7.494,439200
-120.69,37.4,46,NEW,860,130,496,147,3.5167,137500
-118.28,34.05,44,NEW,968,384,1805,375,1.4801,212500
-118.44,34.25,35,NEW,1583,324,1481,351,3.7,176000
-122.05,38.26,21,NEW,7195,1416,3927,1377,3.0912,126300
-121.99,37.35,18,NEW,1712,509,972,467,4.3971,238900
-121.02,37.68,28,NEW,2875,560,1608,558,3.5489,106400
-119.85,36.74,35,NEW,1191,190,537,182,3.5375,96700
-118.02,34.08,28,NEW,2769,631,2452,581,2.6071,175900
-123.52,41.01,17,NEW,1564,345,517,222,2.1542,83800
-122.4,37.62,44,NEW,1619,362,1064,335,4.0238,224200
-118.13,34.15,24,NEW,1125,341,579,321,2.8125,141700
-122,37.98,32,NEW,1013,169,436,173,5.1118,226900
-118.45,34.25,36,NEW,1453,270,808,275,4.3839,204600
-117.5,33.87,4,NEW,6755,1017,2866,850,5.0493,239800
-122.22,37.84,50,NEW,2935,473,1031,479,7.5,295200
-119.82,36.64,30,NEW,1694,312,1008,321,2.2466,96000
-120.21,36.77,20,NEW,1745,348,1093,302,2.3194,90600
-120.97,38.42,16,NEW,1748,322,4930,287,4.3029,121900
-121.19,38.87,20,NEW,3118,500,1405,519,6,209400
-118.2,33.77,52,OLD,1375,457,1089,317,2.2344,200000
-118.3,34.02,49,NEW,2120,483,1522,416,1.85,116800
-122.23,37.79,43,NEW,5963,1344,4367,1231,2.1917,112800
-121.31,38.62,31,NEW,3114,430,1121,456,6.244,240000
-117.25,32.8,35,NEW,2281,506,1005,496,4.2296,275000
-118.26,33.99,36,NEW,2016,505,1807,464,1.6901,103500
-119.39,36.54,34,NEW,1590,422,1272,407,1.8068,59000
-121.51,38.52,30,NEW,3236,588,1167,569,4.0972,181400
-119.18,34.27,6,NEW,2307,386,910,364,5.215,279500
-118.18,33.77,30,NEW,1418,439,720,417,2.6371,159400
-122.43,37.74,52,OLD,1514,314,724,301,5.3292,300900
-117.93,33.91,24,NEW,1698,297,676,273,5.2017,364600
-124.16,40.77,35,NEW,2141,438,1053,434,2.8529,85600
-117.95,33.63,27,NEW,2489,481,1082,443,5.8777,358800
-118.05,34.1,36,NEW,1606,318,889,294,4.7931,272600
-116.97,32.81,19,NEW,1573,471,844,414,2.1422,125000
-118.85,34.17,42,NEW,564,96,220,81,4.5625,318800
-117.73,33.63,15,NEW,2874,592,1382,586,5.5137,161800
-122.07,37.34,30,NEW,1851,238,631,236,10.1007,500001
-117.18,33.02,15,NEW,3540,453,1364,425,13.6623,500001
-118.41,34,38,NEW,324,70,268,73,2.55,271400
-121.96,37.3,20,NEW,4228,1006,2334,1007,4.3081,227300
-121.74,38.55,34,NEW,2299,579,1300,536,1.6435,148500
-118.21,33.92,28,NEW,2949,1003,4551,930,1.9026,131900
-121.9,36.61,29,NEW,3412,827,1574,759,2.9309,217100
-117.81,33.84,17,NEW,4343,515,1605,484,10.5981,460100
-118.19,33.93,42,NEW,1829,391,1614,377,3.1912,146400
-120.93,37.73,14,NEW,2799,618,2294,596,2.6343,81500
-122.02,37.96,25,NEW,2615,368,935,366,6.6727,305100
-122.47,37.79,52,OLD,2844,623,1380,596,4.75,500001
-117.19,34.03,25,NEW,2513,340,900,320,6.4962,182400
-117.24,32.8,28,NEW,1072,331,692,321,2.1357,187500
-118.13,34.1,19,NEW,2742,756,1396,703,2.5663,197500
-122.42,37.73,50,NEW,3426,769,2261,671,2.888,246400
-118.14,34.71,32,NEW,1164,248,588,270,1.1917,86900
-119.76,36.75,39,NEW,2233,563,2031,491,1.8641,50800
-122.34,37.56,39,NEW,3562,391,1139,391,12.6417,500001
-122.45,40.46,16,NEW,2734,501,1413,484,2.8085,105700
-118.29,33.91,31,NEW,2025,618,2231,593,2.4741,151200
-118.32,33.91,34,NEW,3041,677,1920,640,4.5304,181300
-122.04,37.36,26,NEW,3298,460,1241,472,6.8753,403000
-117.39,34.1,12,NEW,7184,1516,4862,1235,2.4492,103800
-122.25,37.8,36,NEW,1678,606,1645,543,2.2303,116700
-117.98,34.1,22,NEW,5661,1209,5389,1178,3.7727,159700
-120.06,36.95,24,NEW,646,134,454,149,2.125,61900
-121.47,39.49,17,NEW,1554,242,553,230,3.2174,91800
-122.2,37.79,35,NEW,1802,459,1009,390,2.3036,126000
-117.23,32.75,23,NEW,2415,653,1275,596,3.1389,101800
-119.75,36.74,39,NEW,1740,351,1098,347,1.8958,51300
-117.92,34.03,35,NEW,1341,233,898,216,4.1118,157300
-121.64,39.28,25,NEW,2857,662,2076,685,1.8095,64100
-117.14,32.72,45,NEW,1140,310,840,339,1.6156,156300
-122.29,37.54,41,NEW,1743,349,811,349,4.9464,282400
-117.91,33.94,15,NEW,5799,842,2314,787,6.3433,350500
-118.38,34.27,8,NEW,3248,847,2608,731,2.8214,158300
-122.03,37.6,24,NEW,2077,383,1488,389,4.5721,214700
-117.13,33.15,16,NEW,3907,671,1759,663,3.1776,172600
-118.28,34,42,NEW,855,284,890,247,1.2778,112500
-122.45,37.72,52,OLD,1729,319,890,300,4.3036,261800
-119.77,36.77,38,NEW,3065,658,1441,625,2.0564,64700
-117.7,33.64,15,NEW,5743,773,2380,773,8.1926,326600
-117.07,32.79,36,NEW,3583,642,1711,602,3.9745,170800
-117.85,33.62,13,NEW,5192,658,1865,662,15.0001,500001
-117.76,33.71,15,NEW,1010,350,470,342,3.2229,108300
-117.19,34.94,31,NEW,2034,444,1097,367,2.1522,60800
-120.97,37.69,15,NEW,4065,841,1986,680,3.072,114300
-117.19,33.64,12,NEW,1481,265,757,243,3.235,210700
-118.38,33.91,36,NEW,2904,515,1463,534,5.8374,289600
-121.56,38.26,43,NEW,1906,327,996,314,2.9744,136800
-118.96,35.87,17,NEW,1668,307,888,277,3.7794,96200
-116.96,32.8,24,NEW,2493,693,1420,643,1.8357,104200
-118.27,33.94,30,NEW,1764,397,1406,362,1.449,93100
-119.18,34.19,36,NEW,4519,1081,4818,1061,2.8561,179100
-118.23,33.9,28,NEW,1108,284,1498,289,2.4706,88800
-120.49,37.26,28,NEW,2159,416,1283,378,1.8939,83000
-121.43,38.64,34,NEW,2010,411,1501,422,2.0417,65900
-118.14,34.17,42,NEW,2757,713,2112,653,2.7148,166800
-119.09,35.41,12,NEW,3449,522,1754,551,5.6235,130600
-118.02,33.71,24,NEW,2598,443,1184,435,5.8623,287800
-121.53,39.06,20,NEW,561,109,308,114,3.3021,70800
-119.29,34.28,38,NEW,2387,748,1537,741,2.3147,192500
-121.84,37.34,33,NEW,1019,191,938,215,4.0929,165000
-117.99,33.88,42,NEW,1461,302,986,314,3.9559,161100
-122.24,37.55,3,NEW,6164,1175,2198,975,6.7413,435900
-121.8,37.31,21,NEW,2630,446,1789,389,5.0543,232000
-117.43,34.08,13,NEW,4563,1187,2475,1019,2.1189,121700
-118.28,34.02,29,NEW,515,229,2690,217,0.4999,500001
-117.3,33.06,31,NEW,2128,520,1049,485,4.027,290000
-118.2,34.04,18,NEW,796,227,547,218,1.0333,135400
-117.63,34.11,30,NEW,2674,428,1404,456,4.2969,165600
-121.94,37.33,37,NEW,818,269,576,261,2.1902,250000
-118.07,33.93,5,NEW,906,187,1453,158,4.125,171900
-117.19,32.83,30,NEW,3225,555,1601,532,4.3317,173300
-118.21,33.89,42,NEW,1739,370,1104,297,2.2125,120700
-118.41,34.19,39,NEW,1169,242,612,247,4.1429,200000
-117,32.8,29,NEW,2045,398,912,368,3.0189,144100
-116.92,32.86,11,NEW,2204,518,1472,497,2.3693,127000
-121.04,38.95,22,NEW,1931,445,1009,407,2.75,153200
-122.12,37.45,38,NEW,1276,314,955,287,2.0096,155700
-119.48,36.54,28,NEW,2112,363,1011,335,4.2222,108900
-121.02,37.68,25,NEW,3262,588,1834,578,3.996,114500
-123.28,40.77,25,NEW,767,206,301,121,1.625,79200
-122.89,39.11,10,NEW,1588,333,585,254,2.2551,71100
-122.04,37.97,21,NEW,6445,1839,3621,1735,2.5841,112500
-118.08,33.81,21,NEW,1189,281,577,264,3.3155,237500
-118.31,34.09,36,NEW,787,420,1506,360,1.2412,216700
-122.16,37.75,35,NEW,667,140,406,133,3.8047,94300
-121.61,38.38,37,NEW,1365,276,952,268,4.037,156900
-122.1,37.68,31,NEW,1892,428,1162,389,3.125,167100
-122.28,37.87,49,NEW,2026,548,963,521,1.9805,173700
-116.91,34.24,23,NEW,6379,1636,1350,568,1.6336,124500
-121.83,37.28,33,NEW,1115,250,1168,261,3.9009,178600
-118.3,33.81,17,NEW,5544,1068,3008,1038,5.322,282700
-117.96,33.7,23,NEW,4417,740,1865,693,5.3428,279300
-122.14,40.07,31,NEW,2053,465,1193,447,1.4923,44400
-121.44,38.73,25,NEW,1287,224,727,236,4.7396,135500
-122.26,37.55,17,NEW,4576,814,1941,807,5.9572,443800
-121.64,37.14,14,NEW,5487,1024,2823,979,4.175,229800
-117.18,34.48,8,NEW,3561,691,2156,659,2.7778,86900
-122.28,38.34,44,NEW,1066,190,416,174,3.6389,304000
-117.9,33.6,25,NEW,2465,585,906,472,3.6538,500001
-122.18,37.78,33,NEW,142,31,575,47,3.875,225000
-121.49,38.51,30,NEW,3166,607,1857,579,3.1768,79500
-118.19,33.91,43,NEW,1531,357,1509,376,2.6354,128100
-118.27,34.1,50,NEW,2113,398,793,418,4.7132,304600
-121.44,38.61,34,NEW,172,38,149,55,2.6442,55000
-121.91,37.43,33,NEW,2791,496,1714,485,4.8304,224900
-117.86,33.72,31,NEW,1194,297,1602,306,2.3333,157700
-118.35,33.92,29,NEW,736,232,584,231,3.6167,200000
-117.26,33.84,12,NEW,1159,209,523,159,2.7232,123200
-122.43,37.73,52,OLD,3602,738,2270,647,3.8934,251800
-121.8,37.99,16,NEW,3077,465,1575,446,5.5,179500
-122.58,38.46,15,NEW,2936,517,1182,501,3.3981,246900
-122.47,37.78,52,OLD,2042,378,1153,408,4.1856,404700
-118.08,34,32,NEW,1165,358,997,361,0.9817,166300
-122,37.35,20,NEW,4304,851,2059,835,5.1674,333000
-119.02,35.41,21,NEW,2534,554,1297,517,2.0575,67000
-118.13,34.18,52,OLD,1464,211,603,226,5.8309,309100
-121.94,37.27,23,NEW,1932,552,997,482,3.662,211900
-120.51,35.91,39,NEW,768,162,264,118,5.3245,250000
-121.65,38.03,28,NEW,3144,694,1095,482,3.4402,192400
-121.62,39.79,11,NEW,3835,727,1456,658,2.5374,97200
-117.08,32.82,16,NEW,1787,236,770,228,7.1298,278600
-123.21,39.14,15,NEW,2235,545,1376,516,1.9032,100000
-119.61,36.33,32,NEW,1492,284,926,264,3.0139,61500
-114.98,33.07,18,NEW,1183,363,374,127,3.1607,57500
-118.38,34.04,36,NEW,3005,771,2054,758,2.0437,309100
-117.99,33.7,13,NEW,4013,903,1999,859,4.625,248800
-116.26,33.72,10,NEW,9404,1827,3208,1283,3.1086,105800
-118.4,34,10,NEW,1526,339,705,268,5.8083,321800
-120.64,35.46,6,NEW,5876,1406,2877,1304,2.5437,146400
-122.03,37.39,22,NEW,3280,933,1842,795,4.4107,232700
-118.29,33.88,36,NEW,1751,438,1175,419,3.0739,218600
-117.02,32.69,7,NEW,6055,1004,3031,952,4.436,135000
-119.32,36.3,15,NEW,2864,571,1480,475,2.9698,93400
-122.31,38.01,18,NEW,4123,874,1895,772,3.2759,195000
-118.86,34.19,27,NEW,1931,261,736,244,6.7805,392900
-117.14,33.81,13,NEW,4496,756,2044,695,3.2778,148800
-118.64,34.22,25,NEW,2762,410,1166,439,6.8643,333700
-116.63,33.89,22,NEW,1540,364,610,268,1.5227,71000
-118.28,34.11,45,NEW,1607,331,633,332,3.1445,438300
-119.03,35.38,52,OLD,1695,290,540,260,2.7312,147100
-118.26,33.88,36,NEW,1212,222,775,224,5.5591,136500
-117.89,33.85,18,NEW,2036,414,1292,380,3.875,273000
-122.09,37.38,36,NEW,2587,416,1055,410,6.1995,407200
-122.94,39.1,18,NEW,681,120,272,105,2.8906,140600
-117.1,32.68,42,NEW,2013,568,1920,557,2.0724,107600
-118.98,35.41,36,NEW,1482,266,640,274,3.875,94500
-120.23,37.96,52,OLD,1230,262,609,243,2.0057,68200
-118.2,33.94,43,NEW,1934,511,1895,493,2.5029,159700
-121.3,37.95,9,NEW,674,242,575,193,2.2024,45000
-121.74,38.55,33,NEW,6861,1820,3717,1767,1.7311,182600
-121.96,37.33,35,NEW,2294,411,1054,449,4.0667,276900
-120.6,37.36,27,NEW,2521,484,1307,456,3.0911,86900
-122.47,37.7,44,NEW,2034,423,1491,373,4.5341,236500
-117.05,32.58,23,NEW,1918,339,1392,340,4.087,134800
-117.9,33.87,34,NEW,1411,292,1040,299,3.4338,195200
-117.23,32.87,15,NEW,2290,662,1034,594,3.0104,204200
-122.08,37.88,24,NEW,2059,462,410,294,2.3971,99400
-118.21,33.8,45,NEW,1160,274,1095,269,2.7308,139000
-122.08,37.64,30,NEW,5267,1253,4065,1113,3.3479,182100
-118.38,34.14,40,NEW,1965,354,666,357,6.0876,483800
-118.2,33.8,45,NEW,2456,495,1300,450,3.9792,210200
-117.62,33.43,27,NEW,3858,1062,2321,873,3.3155,231000
-122.11,37.4,31,NEW,2836,490,1138,481,4.9519,500001
-122.84,38.98,21,NEW,939,176,556,178,1.7196,75000
-121.26,38.27,20,NEW,1314,229,712,219,4.4125,144600
-116.89,33.73,15,NEW,2094,316,937,277,5.3623,201300
-122.67,38.44,32,NEW,3771,741,1786,721,3.2415,172200
-117.94,33.87,46,NEW,2066,450,1275,448,3.9375,187000
-118.14,34.69,34,NEW,1439,327,708,298,3.2699,100000
-122.4,37.59,22,NEW,2754,477,1163,479,6.2306,500001
-118.08,33.84,28,NEW,4216,948,2997,896,3.7961,162700
-116.36,33.78,6,NEW,24121,4522,4176,2221,3.3799,239300
-117.94,33.85,26,NEW,1888,429,1550,458,3.3393,168600
-117.47,33.94,34,NEW,559,139,532,137,3.0687,88500
-117.64,33.65,4,NEW,6842,1512,3256,1439,5.4132,216600
-118.5,34.24,34,NEW,2634,412,1114,423,5.9401,315300
-118.19,33.78,24,NEW,225,72,439,71,2.8533,137500
-117.66,34.12,16,NEW,3853,541,1726,497,6.1195,251100
-122.3,37.97,34,NEW,2854,528,1211,452,3.5353,164700
-122.14,37.68,31,NEW,3184,716,1561,628,2.7955,183100
-118.26,33.94,41,NEW,1510,410,1408,389,1.65,94200
-118.23,33.93,39,NEW,2065,532,2015,535,0.8478,104900
-120.96,38.66,11,NEW,2339,436,1062,380,3.9036,180800
-117.84,35.35,28,NEW,1913,486,858,371,1.9962,50800
-119.16,34.2,35,NEW,2183,636,3504,623,1.9704,160300
-122.65,38.23,52,OLD,1735,347,712,343,3.1711,200800
-121.88,37.37,14,NEW,6016,1404,3258,1316,3.5745,333700
-118.4,34.04,43,NEW,3863,537,1398,511,8.5938,500001
-118.27,34.11,36,NEW,1832,539,934,486,3.0521,276600
-118.44,34.3,38,NEW,1595,314,1181,327,3.4,155500
-121.77,37.68,41,NEW,1501,299,629,288,4.6806,209400
-119.99,38.88,17,NEW,2807,529,675,251,2.7457,107800
-118.36,33.96,26,NEW,3543,1055,2742,951,2.5504,151300
-118.32,33.97,52,OLD,1778,320,795,279,3.5114,138800
-118.27,34.27,27,NEW,5205,859,2363,888,6.1946,276100
-116.81,33.9,17,NEW,2009,469,820,381,1.3286,81800
-118.39,33.96,45,NEW,1436,374,662,292,3.625,329400
-118.07,33.91,29,NEW,2387,570,1978,548,3.1957,159200
-118.35,34.22,30,NEW,1260,222,638,229,4.1302,258300
-118.43,34.02,41,NEW,2403,516,1001,514,4.3906,500001
-121.73,37.68,17,NEW,20354,3493,8768,3293,5.4496,238900
-117.31,32.98,17,NEW,2789,648,849,345,4.1012,244700
-122.29,37.56,12,NEW,6474,1467,2516,1390,5.0353,305800
-119.69,34.38,39,NEW,1383,459,677,362,2.25,281300
-122.07,38,37,NEW,978,202,462,184,3.625,156300
-118.05,34.16,41,NEW,3320,713,1236,659,3.5694,278600
-122.07,37.66,28,NEW,2280,610,1255,587,2.6719,161200
-121.8,37.27,10,NEW,3301,593,2190,575,6.223,260700
-122.69,38.34,23,NEW,2846,516,1526,492,3.733,163500
-117.08,32.7,35,NEW,1477,264,852,279,3.1786,100600
-119.76,36.73,46,NEW,1347,282,854,267,1.8723,52600
-118.37,34.05,52,OLD,1563,306,776,308,3.625,440900
-122.7,38.35,14,NEW,1555,369,493,335,1.6033,67500
-118.13,34.01,45,NEW,1179,268,736,252,2.7083,161800
-119.35,36.21,26,NEW,2481,586,1445,498,1.6378,60300
-117.67,34.03,20,NEW,8561,1411,4861,1450,4.7056,165500
-117.97,34.15,33,NEW,2474,472,1268,437,6.4576,500001
-118.08,34.08,38,NEW,1889,407,1330,396,3.9219,205200
-121.23,38.78,13,NEW,3813,871,1513,783,2.0807,142600
-118.2,34.02,49,NEW,1098,317,1411,301,2.75,146000
-118.17,34.02,41,NEW,676,216,851,199,2.3077,140600
-117.8,34.06,34,NEW,1081,205,1325,252,3.6298,108500
-118.3,33.97,46,NEW,1425,317,1140,304,3.375,98500
-122.47,37.69,30,NEW,837,213,606,199,4.875,258800
-118.2,33.96,44,NEW,2144,477,1760,452,2.3221,161600
-117.13,32.91,16,NEW,2715,581,1619,584,4,154700
-119.77,36.81,25,NEW,1565,271,661,275,3.4279,84700
-118.47,34.25,21,NEW,2692,477,1330,456,4.5417,238900
-122.25,37.8,42,NEW,4120,1065,1715,1015,2.9345,225000
-118.5,34.17,37,NEW,880,154,369,155,4.1429,303600
-122.24,37.49,38,NEW,4105,950,2561,909,3.8684,265600
-117.15,32.93,16,NEW,2718,438,1515,431,5.1433,185300
-120.85,37.77,35,NEW,404,96,261,100,2.4583,75000
-122.25,37.83,35,NEW,1613,428,675,422,3.4722,243100
-118.33,33.77,33,NEW,4244,595,1534,557,9.8214,500001
-124.15,40.78,41,NEW,2127,358,911,349,3.1711,104200
-117.94,33.79,24,NEW,4179,784,1902,733,4.7986,236500
-121.59,39.15,5,NEW,1922,489,938,439,2.0474,61300
-122.69,38.44,31,NEW,1808,315,691,280,3.8583,193200
-122.51,38.76,9,NEW,2589,482,1050,374,4.0435,132600
-117.89,33.61,45,NEW,1883,419,653,328,4.2222,500001
-117.19,32.77,9,NEW,634,152,248,133,3.8571,143800
-117.15,32.75,40,NEW,2261,579,903,525,2.465,198700
-122.21,37.48,20,NEW,505,216,326,216,2.9286,237500
-118.25,33.79,38,NEW,1730,460,1724,424,2.7308,150400
-120.49,40.31,16,NEW,1821,360,969,359,3.4643,85100
-118.3,33.74,20,NEW,2625,673,1184,606,3.9167,285200
-117.14,32.7,47,NEW,552,161,593,174,0.9589,90000
-121.3,37.97,52,OLD,2259,417,766,385,2.2981,105400
-119.78,36.75,31,NEW,1404,379,1515,387,1.2813,56400
-118.38,34.18,32,NEW,3553,1060,3129,1010,2.5603,174200
-118.13,34.1,24,NEW,4670,1185,2478,1107,3.1975,252400
-118.3,33.73,42,NEW,1731,435,866,403,2.7451,255400
-118.44,33.99,44,NEW,305,72,156,70,5.9641,275000
-117.48,34.08,17,NEW,1834,390,1253,357,3.1028,106400
-122.35,37.97,31,NEW,2892,685,2104,641,3.2188,113800
-119.71,34.41,31,NEW,1034,319,997,308,2.6538,231800
-116.92,32.81,23,NEW,2668,528,1510,524,3.3669,158900
-122.11,37.66,35,NEW,2843,652,1726,643,3.09,174100
-117.41,33.94,29,NEW,3181,714,1603,706,3.25,112500
-122.45,37.74,38,NEW,5688,930,2263,908,6.203,346800
-118.36,33.8,38,NEW,2553,400,1042,393,6.9742,500001
-121.66,36.68,10,NEW,913,265,508,251,0.9914,147500
-122.42,37.76,52,OLD,2038,629,2007,596,2.5701,266700
-118.29,34.05,30,NEW,1417,589,1615,540,1.3867,193800
-119.82,34.43,15,NEW,1482,345,669,379,3.0773,112500
-119.34,36.22,38,NEW,2708,460,1260,455,3.0905,78200
-121.5,38.61,5,NEW,1395,373,638,322,2.6745,225000
-121.88,37.46,5,NEW,1819,245,802,228,10.9722,500001
-118.27,33.94,34,NEW,721,165,661,171,2.0789,92400
-122.17,37.73,46,NEW,2163,470,925,435,3.25,177500
-122.22,37.85,28,NEW,5287,1048,2031,956,5.457,337300
-117.2,32.83,36,NEW,1089,240,623,226,2.5909,176000
-120.69,35.49,16,NEW,2666,450,1203,429,4.1375,222400
-122.7,38.97,17,NEW,2554,540,723,319,3.2375,114200
-118.37,34.15,29,NEW,2630,617,1071,573,3.3669,376100
-118.35,34,40,NEW,2894,395,1063,409,6.939,372000
-118.39,37.36,38,NEW,1813,410,902,396,2.3261,98400
-118.11,34.2,36,NEW,4915,725,1897,700,6.827,359400
-121.72,36.81,18,NEW,1984,379,1078,359,3.2969,229900
-118.52,34.16,39,NEW,2693,478,1219,435,5.17,335400
-118.12,33.9,35,NEW,3478,730,1885,673,2.9375,206500
-119.69,36.79,5,NEW,2613,476,1490,481,4.0993,83000
-118.03,33.78,26,NEW,2001,302,836,298,5.1061,257500
-120.67,35.62,6,NEW,12779,2441,6085,2157,3.8661,168100
-118.43,34.03,36,NEW,1552,388,867,352,3.6467,346700
-121.62,39.13,41,NEW,1147,243,583,239,2.2431,63400
-118.97,37.64,13,NEW,1907,544,575,234,3.0685,162500
-117.25,32.74,36,NEW,3548,956,1648,866,2.6962,288200
-122.28,37.8,52,OLD,215,87,904,88,0.8668,137500
-118.19,34.14,38,NEW,1826,300,793,297,5.2962,291500
-117.9,33.85,32,NEW,1605,314,986,306,3.3375,186200
-119.02,37.64,14,NEW,5919,1278,265,112,3.2431,221400
-118.37,34.2,34,NEW,2199,609,2488,597,2.9861,171800
-122.41,37.75,52,OLD,1057,276,837,292,2.4531,229000
-117.94,33.92,28,NEW,639,179,1062,169,3.0588,145200
-118.22,34.12,28,NEW,3306,1025,2670,942,3.0919,185400
-117.24,34.04,4,NEW,4289,682,1981,705,5.3366,165100
-122.08,37.66,33,NEW,1547,372,1063,356,2.5625,154300
-122.28,37.85,48,NEW,2063,484,1054,466,2.2625,132900
-118.21,33.9,35,NEW,2420,579,2010,540,2.0817,104600
-118.01,33.92,35,NEW,1606,289,829,273,5.273,187600
-118.29,34.18,10,NEW,4292,1075,2719,987,3.6974,286600
-118.21,33.96,48,NEW,284,104,422,119,1.2826,145500
-117.23,32.81,28,NEW,1508,263,996,267,3.8026,270000
-117.03,33.13,15,NEW,7000,1185,3555,1118,4.7022,172800
-121.85,37.22,21,NEW,6203,798,2494,800,7.7201,362700
